12Z 05 09 2017, 11.31, 16.69
00Z 06 09 2017, 20.21, 15.73
12Z 06 09 2017, 8.41, 21.74
00Z 07 09 2017, 29.25, 26.56
12Z 07 09 2017, 0.19, 29.24
00Z 08 09 2017, 40.18, 30.08
12Z 08 09 2017, 0.00, 20.23
00Z 09 09 2017, 45.48, 14.29
12Z 09 09 2017, 14.42, 17.12
00Z 10 09 2017, 0.00, 23.96
12Z 10 09 2017, 67.15, 15.57
00Z 11 09 2017, 4.61, 22.48
12Z 11 09 2017, 10.34, 20.41
00Z 12 09 2017, 0.00, 16.32
12Z 12 09 2017, 0.00, 28.70
00Z 13 09 2017, 7.08, 16.07
12Z 13 09 2017, 31.61, 18.31
00Z 14 09 2017, 199.36, 17.91
12Z 14 09 2017, 0.13, 15.07
00Z 15 09 2017, 72.48, 14.26
12Z 15 09 2017, 40.36, 13.49
00Z 16 09 2017, 17.20, 14.25
12Z 16 09 2017, 27.36, 20.63
00Z 17 09 2017, 0.00, 15.98
12Z 17 09 2017, 0.00, 12.28
00Z 18 09 2017, 0.00, 12.54
12Z 18 09 2017, 0.00, 10.59
00Z 19 09 2017, 0.00, 23.72
12Z 19 09 2017, 0.00, 34.83
00Z 20 09 2017, 1.55, 31.07
12Z 20 09 2017, 0.09, 29.81
00Z 21 09 2017, 24.26, 13.54
12Z 21 09 2017, 261.69, 15.59
00Z 22 09 2017, 11.26, 21.28
12Z 22 09 2017, 0.00, 11.35
00Z 23 09 2017, 0.01, 30.37
12Z 23 09 2017, 0.00, 36.74
00Z 24 09 2017, 0.13, 15.23
12Z 24 09 2017, 6.84, 18.11
00Z 25 09 2017, 0.00, 15.38
12Z 25 09 2017, 0.01, 20.21
00Z 26 09 2017, 8.53, 21.96
12Z 26 09 2017, 0.03, 28.67
00Z 27 09 2017, 0.00, 37.51
12Z 27 09 2017, 0.00, 27.56
00Z 28 09 2017, 5.22, 17.33
12Z 28 09 2017, 41.51, 28.45
00Z 29 09 2017, 0.13, 13.76
12Z 29 09 2017, 2.21, 13.60
00Z 30 09 2017, 16.89, 15.83
12Z 30 09 2017, 0.00, 19.62
00Z 01 10 2017, 0.00, 37.62
12Z 01 10 2017, 10.91, 23.71
00Z 02 10 2017, 2.54, 14.68
12Z 02 10 2017, 38.61, 22.38
00Z 04 10 2017, 5.83, 17.64
12Z 04 10 2017, 0.39, 27.85
00Z 05 10 2017, 0.00, 30.48
12Z 05 10 2017, 6.86, 13.20
00Z 06 10 2017, 0.00, 16.37
12Z 06 10 2017, 0.00, 22.72
00Z 07 10 2017, 0.00, 27.19
12Z 07 10 2017, 0.00, 27.45
00Z 08 10 2017, 0.00, 26.03
12Z 08 10 2017, 3.94, 20.15
00Z 09 10 2017, 0.00, 20.29
12Z 09 10 2017, 0.00, 27.13
00Z 10 10 2017, 37.08, 21.13
12Z 10 10 2017, 4.96, 18.60
12Z 11 10 2017, 52.67, 13.76
00Z 12 10 2017, 0.00, 12.56
12Z 12 10 2017, 0.00, 25.93
00Z 13 10 2017, 0.47, 39.38
12Z 13 10 2017, 2.99, 39.24
00Z 14 10 2017, 0.00, 34.91
12Z 14 10 2017, 17.56, 22.81
00Z 15 10 2017, 1.74, 30.99
12Z 15 10 2017, 0.00, 28.31
00Z 16 10 2017, 4.95, 30.47
12Z 16 10 2017, 0.00, 30.60
00Z 17 10 2017, 53.00, 16.66
12Z 17 10 2017, 3.97, 11.81
00Z 18 10 2017, 0.00, 9.37
12Z 18 10 2017, 0.00, 22.74
00Z 19 10 2017, 0.00, 25.95
12Z 19 10 2017, 48.59, 21.25
00Z 20 10 2017, 0.00, 7.54
12Z 20 10 2017, 1.84, 32.47
00Z 21 10 2017, 80.95, 20.28
12Z 21 10 2017, 16.22, 20.15
00Z 22 10 2017, 0.09, 11.95
12Z 22 10 2017, 22.41, 18.12
00Z 23 10 2017, 0.00, 27.95
12Z 23 10 2017, 30.50, 22.73
00Z 24 10 2017, 0.00, 35.00
12Z 24 10 2017, 0.00, 28.76
00Z 25 10 2017, 7.67, 13.18
12Z 25 10 2017, 0.00, 12.37
00Z 26 10 2017, 0.00, 25.07
12Z 26 10 2017, 0.77, 22.58
00Z 27 10 2017, 0.00, 24.96
12Z 27 10 2017, 0.00, 25.73
00Z 28 10 2017, 0.00, 24.83
12Z 28 10 2017, 0.00, 19.41
00Z 29 10 2017, 0.00, 13.91
12Z 29 10 2017, 0.00, 17.28
00Z 30 10 2017, 0.00, 20.89
12Z 30 10 2017, 0.00, 27.85
00Z 31 10 2017, 0.00, 22.54
12Z 31 10 2017, 3.40, 21.86
00Z 01 11 2017, 4.53, 15.74
12Z 01 11 2017, 0.00, 15.92
00Z 02 11 2017, 0.00, 14.38
12Z 02 11 2017, 0.00, 14.20
00Z 03 11 2017, 0.00, 16.74
12Z 03 11 2017, 0.00, 16.26
00Z 04 11 2017, 0.00, 13.36
12Z 04 11 2017, 38.95, 11.63
00Z 05 11 2017, 14.60, 9.59
12Z 05 11 2017, 26.51, 14.45
00Z 06 11 2017, 0.00, 20.20
12Z 06 11 2017, 4.07, 24.36
00Z 07 11 2017, 0.00, 14.55
12Z 07 11 2017, 94.63, 12.84
00Z 08 11 2017, 5.07, 11.43
12Z 08 11 2017, 6.40, 25.33
00Z 09 11 2017, 22.92, 14.50
12Z 09 11 2017, 15.40, 24.30
00Z 10 11 2017, 11.07, 21.01
12Z 10 11 2017, 0.00, 24.85
00Z 11 11 2017, 0.00, 31.34
12Z 11 11 2017, 24.01, 17.34
00Z 12 11 2017, 0.00, 19.33
12Z 12 11 2017, 0.00, 7.91
00Z 13 11 2017, 0.00, 12.14
12Z 13 11 2017, 1.72, 14.26
00Z 14 11 2017, 0.00, 24.28
12Z 14 11 2017, 34.42, 16.34
00Z 15 11 2017, 0.00, 16.11
12Z 15 11 2017, 27.91, 17.06
18Z 15 11 2017, 14.33, 12.96
00Z 16 11 2017, 12.72, 18.26
12Z 16 11 2017, 0.00, 6.71
00Z 17 11 2017, 0.00, 7.65
12Z 17 11 2017, 0.00, 19.50
00Z 18 11 2017, 0.00, 20.52
12Z 18 11 2017, 89.90, 20.62
00Z 19 11 2017, 9.98, 22.72
12Z 19 11 2017, 19.59, 16.15
00Z 20 11 2017, 1.97, 17.98
12Z 20 11 2017, 87.64, 28.57
00Z 21 11 2017, 0.00, 22.58
12Z 21 11 2017, 0.00, 24.50
00Z 22 11 2017, 0.00, 28.49
12Z 22 11 2017, 0.00, 19.14
00Z 23 11 2017, 0.00, 7.52
12Z 23 11 2017, 52.88, 10.15
00Z 24 11 2017, 0.00, 6.62
12Z 24 11 2017, 0.00, 12.06
00Z 25 11 2017, 4.99, 7.23
12Z 25 11 2017, 0.00, 6.72
00Z 26 11 2017, 0.00, 8.51
12Z 26 11 2017, 0.27, 15.70
00Z 27 11 2017, 5.30, 23.89
12Z 27 11 2017, 1.86, 14.92
00Z 28 11 2017, 0.00, 10.27
12Z 28 11 2017, 0.00, 9.16
00Z 29 11 2017, 0.00, 7.57
12Z 29 11 2017, 6.74, 10.98
00Z 30 11 2017, 0.00, 9.31
12Z 30 11 2017, 3.46, 11.76
